Restaurant,City,State,Country,Cuisine Type,Date,Rating,Menu Items tried:,Extra Notes:,Revisit ?,Neighborhood,Cost,Delivery?,Vibes
Phê,Seattle,WA,USA,Cafe,"June 24, 2025",⭐️⭐️⭐️⭐️⭐️,Banana pudding hojicha latte,"Pretty pricy for a latte ($10!). Usually there’s a long line on the weekends, but during the weekday it was empty. No wi-fi. Want to try the hyped matcha… when they’re finally back in stock. Food menu looks good too",No,Capital Hill,$$,No,Counter-Service/To-Go
Falafelville,Seattle,WA,USA,Mediterranean,"June 22, 2025",⭐️⭐️⭐️,Chicken shawarma salad; greek salad,Chicken was a bit dry for me and there were 2 pieces of lettuce?,No,,$$,Yes,Counter-Service/To-Go
Cafe Flora,Seattle,WA,USA,"American, Brunch","June 22, 2025",⭐️⭐️⭐️⭐️,Polenta pancake with lemon-y chevre and cherries; ranchero Colorado scramble with cheesy grits; sourdough toast,,No,,$$,No,Casual
Valhalla Sandwiches,Seattle,WA,USA,Sandwiches,"June 21, 2025",⭐️⭐️⭐️⭐️⭐️,Shrimp po-mofo as a bowl; sweet potato tots; roast beef sandwich,,No,Greenwood,$$,No,Counter-Service/To-Go
Braud & Co,Reykjavik,,Iceland,Bakery,"June 20, 2025",⭐️⭐️⭐️⭐️,Pain au chocolate,A bit bready for a croissant,No,,$,No,Counter-Service/To-Go
Icelandic Street Food,Reykjavik,,Denmark,Icelandic,"June 20, 2025",⭐️⭐️⭐️⭐️,Traditional lamb soup; spicy tomato soup; waffle with jam,Unlimited soup refills and free waffles!,No,,$$,No,Counter-Service/To-Go
Fisketorget Delikatesse AS,Alesund,,Norway,Scandinavian,"June 11, 2025",⭐️⭐️⭐️⭐️⭐️,Fish stew; bread with aioli??; fish and chips,,No,,$$$,No,"Casual, Upscale"
Juno the Bakery,Copenhagen,,Denmark,Bakery,"June 8, 2025",⭐️⭐️⭐️⭐️⭐️,Rhubarb custard buns; chocolate croissants,,No,,$,No,Counter-Service/To-Go
Mad & Kaffe,Copenhagen,,Denmark,Brunch,"June 8, 2025",⭐️⭐️⭐️⭐️⭐️,Hot honey nugget; grilled peach; frittata; asparagus; avocado; rhubarb trifle,Kind of like hip dim sum,No,,$$,No,Casual
Folkehuset Absalon,Copenhagen,,Denmark,Scandinavian,"June 7, 2025",⭐️⭐️⭐️⭐️,Chicken with olives and other stewed vegetables,Social Dining,No,,$$,No,Casual
Kanalhuset,Copenhagen,,Denmark,Scandinavian,"June 6, 2025",⭐️⭐️⭐️⭐️,Carrot top pesto and sourdough; spring peas and potatos; fish with muhammara,Social dining,No,,$$$,No,Casual
Ooink,Seattle,WA,USA,Japanese,"June 4, 2025",⭐️⭐️⭐️,Black garlic; standard; cucumber salad; gyoza,,No,Capital Hill,$$,No,Counter-Service/To-Go
Ice Cream Social,Bainbridge Island,WA,USA,Dessert,"June 1, 2025",⭐️⭐️⭐️⭐️⭐️,Strawberry ice cream,“New Zealand” style ice-cream. It was vanilla with strawberry mixed in,No,,$,No,Counter-Service/To-Go
Proper Fish,Bainbridge Island,WA,USA,English,"June 1, 2025",⭐️⭐️⭐️⭐️⭐️,British style fish and chips; chowder; onion rings,The fish are so big omg,No,,$$,No,Counter-Service/To-Go
Storyville Coffee,Seattle,WA,USA,Cafe,"June 1, 2025",⭐️⭐️⭐️,"Cappucino, latte, chocolate croissant","Homemade croissant was bread-y but I liked it still, the outside had a sugar syrup crust which gave it crisp. But $30 for only three items was crazy",No,Downtown,$$,No,Counter-Service/To-Go
Blazing Onion Burger,Lynnwood,WA,USA,American,"May 30, 2025",⭐️⭐️⭐️⭐️,B.O.B burger; cajun chicken sandwich with sweet potato fries; chocolate milkshake,,No,,$$,No,Counter-Service/To-Go
Layers Green Lake,Seattle,WA,USA,Sandwiches,"May 30, 2025",⭐️⭐️⭐️⭐️⭐️,Beauty in the beef (roast beef sandwich); tuna salad sandwich; spuds; chicory caesar salad,,No,Greenlake,$$,No,Counter-Service/To-Go
Acre,Auburn,AL,USA,New American,"May 24, 2025",⭐️⭐️⭐️⭐️⭐️,"Too many that I’ve forgotten, but most recently fish tacos; green goddess salad; carrot cake; chocolate stout cake",This is Will and my go to restaurant in Auburn,No,,$$$,No,Upscale
Auburn Popcorn Company,Auburn,AL,USA,Dessert,"May 23, 2025",⭐️⭐️⭐️⭐️,Raspberry chocolate truffle ice cream,They have my favorite Hershey’s ice cream from Swarthmore !!!!!!,No,,$,No,Counter-Service/To-Go
Side Track,Auburn,AL,USA,Cafe,"May 23, 2025",⭐️⭐️⭐️⭐️⭐️,Jump man; latte; chocolate croissant; croissant,Has Stinson Bread’s pastries. It was only $11 for two coffees and two pastries omg. The pastries was so great !!,Yes,,$,No,Counter-Service/To-Go
Well Red,Auburn,AL,USA,Cafe,"May 22, 2025",⭐️⭐️⭐️⭐️,"Lavender latte; cold brew with cold foam; bacon, cheddar biscuit",,No,,$,No,Counter-Service/To-Go
Bryant Park Grill,Manhattan,NY,USA,American,"May 20, 2025",⭐️⭐️⭐️⭐️,Salmon with assorted vegetables; seafood pasta; fish and chips,,No,,$$$,No,Upscale
Peppercorn Station,Manhattan,NY,USA,Chinese,"May 20, 2025",⭐️⭐️⭐️⭐️⭐️,"Sour, spicy fillet soup; snow pea tea leaves; ci ba","Chengdu7 ci ba is still the best, but I liked the food a lot and so did mom",No,,$$,No,Counter-Service/To-Go
Go Believe Bakery ,Manhattan,NY,USA,Bakery,"May 19, 2025",⭐️⭐️⭐️⭐️⭐️,Rou song bun; egg custard bun; egg tarts,$1.75 for like everything. Mom was pleased,No,Chinatown,$,No,Counter-Service/To-Go
10000 Coffee,Manhattan,NY,USA,Cafe,"May 19, 2025",⭐️⭐️⭐️⭐️,Onyx latte; matcha einspanner,Based in Australia. I didn’t like the cashier both times I went lol,No,,$,No,Counter-Service/To-Go
Seed+Mill,Manhattan,NY,USA,Dessert,"May 19, 2025",⭐️⭐️⭐️,Sesame sundae w/ halva and tihini,"The softserve was oat milk and a little off, but I liked the halva and sesame flavor",No,,$,No,Counter-Service/To-Go
Very Fresh Noodles,Manhattan,NY,USA,Chinese,"May 19, 2025",⭐️⭐️⭐️⭐️,Cumin lamb noodle soup; Taiwan beef noodle soup; tiger salad,,No,,$$,No,Counter-Service/To-Go
Hani’s Bakery,Manhattan,NY,USA,Bakery,"May 19, 2025",⭐️⭐️⭐️⭐️⭐️,Cinnamon roll with malted glaze,So good and the croissants looked amazing and creative,Yes,,$$,No,Counter-Service/To-Go
Yubu,Manhattan,NY,USA,Korean,"May 19, 2025",⭐️⭐️⭐️,,,No,,$$,No,Counter-Service/To-Go
Spongie’s Cafe,Manhattan,NY,USA,Cafe,"May 18, 2025",⭐️⭐️⭐️,"Hong Kong sponge cakes: original, Thai tea, purple yam, pandan","Flavors were very subtle, almost like an aftertaste",No,,$,No,Counter-Service/To-Go
Tall Poppy,Manhattan,NY,USA,Bakery,"May 18, 2025",⭐️⭐️⭐️⭐️⭐️,Tiramisu croissant; cinnamon roll,"The cinnamon roll was kind of crunchy from the sugar, but I liked that",No,,$$,No,Counter-Service/To-Go
Chama Mama,Manhattan,NY,USA,Georgian,"May 18, 2025",⭐️⭐️⭐️,Kachapuri; mushrooms; feast of Georgia (assorted spreads); some type of chicken curry,Portions are small and bread is dry ,No,,$$$,No,Casual
Dialogue Coffee,Manhattan,NY,USA,Cafe,"May 18, 2025",⭐️⭐️⭐️⭐️⭐️,Carrot cake latte,,No,,$,No,Counter-Service/To-Go
Cariñito Tacos,Manhattan,NY,USA,Tacos,"May 17, 2025",⭐️⭐️⭐️⭐️,Sichuan crunchwrap; thai taco; corn ribs; chips and guac,Mexico City taqueria popup that’s Asian fusion,No,,$$,No,Counter-Service/To-Go
Winson Bakery,Manhattan,NY,USA,Cafe,"May 17, 2025",⭐️⭐️⭐️⭐️,Bacon and cheese scallion pancake; rou bao; fried chicken on milk bun with wasabi dressed salad,,Yes,,$$,No,Counter-Service/To-Go
Seven Grams Caffee,Manhattan,NY,USA,Cafe,"May 17, 2025",⭐️⭐️⭐️,Nitro cold brew; chocolate chip cookie,"“I’m gooey” is what their marketing says, and the chocolate is indeed soft, but idk if I liked a soft cookie",No,,$,No,Counter-Service/To-Go
Claude,Manhattan,NY,USA,Bakery,"May 17, 2025",⭐️⭐️⭐️⭐️⭐️,Chocolate croissant; artichoke danish; Manhattan blackout cake,I made us go because of the name lol,No,,$,No,Counter-Service/To-Go
Soso’s,Manhattan,NY,USA,New American,"May 16, 2025",⭐️⭐️⭐️⭐️⭐️,,,No,Chinatown,$$$,No,Casual
